    Song Title,Streams,Daily
God’s Menu,"484,169,076","286,302"
MANIAC,"413,258,729","291,964"
Chk Chk Boom,"345,340,383","455,676"
S-Class,"321,638,415","196,707"
Thunderous,"321,454,629","104,471"
LALALALA,"312,916,813","267,004"
Back Door,"302,703,403","96,622"
CASE 143,"262,955,987","121,072"
"Red Lights (Bang Chan, Hyunjin)","220,168,758","128,67"
MIROH,"186,647,878","59,438"
MEGAVERSE,"155,181,702","140,322"
Charmer,"153,787,279","73,588"
DOMINO,"140,591,914","76,577"
Come Play (from the series Arcane League of Legends),"133,324,281","149,301"
I Like It,"129,421,223","166,456"
Christmas EveL,"126,870,546","87,745"
VENOM,"120,167,679","73,312"
TOPLINE (Feat. Tiger JK),"118,302,861","95,708"
"TASTE (Lee Know, Hyunjin, Felix)","112,014,366","82,408"
Easy,"109,257,229","41,334"
Walkin On Water,"103,543,536","143,861"
CHEESE,"99,319,108","67,735"
CIRCUS,"95,150,338","56,562"
Hall of Fame,"93,975,093","73,091"
Lose My Breath (Feat. Charlie Puth),"92,146,093","55,527"
Super Bowl,"86,966,435","51,287"
JJAM,"86,739,089","100,419"
Silent Cry,"82,077,196","40,68"
Hellevator,"80,957,398","16,601"
Social Path,"80,679,691","57,757"
CEREMONY,"77,564,957","395,54"
My Pace,"74,899,414","10,208"
Cover Me,"74,257,087","67,934"
ALL IN,"73,989,264","27,801"
ITEM,"73,706,543","37,391"
Mixtape : OH,"69,237,074","18,929"
MOUNTAINS,"67,747,126","78,495"
FREEZE,"67,416,776","27,812"
WOLFGANG,"66,370,786","26,535"
Unfair (Felix),"65,803,152","106,266"
Side Effects,"63,429,293","9,093"
Stray Kids,"61,814,908","82,463"
끝나지 않을 이야기,"61,169,422","16,944"
COMFLEX,"60,948,277","40,652"
* Going Dumb (with Stray Kids),"59,706,090","17,311"
Mixtape : Time Out,"58,822,544","17,652"
Any,"58,013,083","17,902"
Collision,"57,125,240","34,489"
"3RACHA (Bang Chan, Changbin, HAN)","56,994,663","37,06"
Railway (Bang Chan),"56,446,982","105,566"
Lonely St.,"56,210,063","25,076"
"Wow (Lee Know, Hyunjin, Felix)","55,386,192","17,202"
Double Knot,"55,315,662","8,707"
GET LIT,"54,920,913","27,786"
Hollow,"53,919,201","144,106"
"Sorry, I Love You","53,661,478","21,574"
Leave,"52,105,102","32,744"
BLIND SPOT,"51,955,291","50,3"
Youtiful,"50,405,052","29,54"
THE SOUND,"49,909,532","23,285"
So Good (Hyunjin),"49,870,371","83,584"
My Pace,"49,656,078","37,614"
MIROH,"49,538,159","32,237"
Deep end (Felix),"49,359,954","27,901"
SUPER BOARD,"49,143,388","31,041"
"Surfin’ (Lee Know, Changbin, Felix)","48,485,763","18,833"
"Muddy Water (Changbin, Hyunjin, HAN, Felix)","48,413,346","21,434"
Truman (HAN & Felix),"47,865,745","104,453"
Secret Secret,"47,212,091","22,402"
Scars,"47,205,294","18,028"
Ex,"46,886,514","19,218"
GIANT,"45,582,035","50,766"
The Tortoise and the Hare,"45,262,322","18,481"
Maknae On Top (I.N),"45,197,355","48,343"
"Waiting For Us (Bang Chan, Lee Know, Seungmin, I.N)","44,979,928","19,785"
Get Cool,"44,274,381","5,971"
The View,"43,964,208","14,907"
District 9,"43,725,508","32,894"
DLC,"43,589,714","17,544"
